<node>	<namespace>	<title>	<nodeTerms>	<category>	<submittable>	<description>	<additionalProperties>	<property_ref>	<program>	<project>	<required>	<link_name>	<backref>	<label>	<target>	<multiplicity>	<link_required>	<link_group_required>	<group_exclusive>
unaligned_reads_file	https://gen3.datacommons.io/	Unaligned Reads File		data_file	True	Data file containing unaligned reads.	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, md5sum, data_category, data_type, data_format, experimental_strategy	['core_metadata_collections', 'read_groups', 'subjects']	['unaligned_reads_files', 'unaligned_reads_files', 'unaligned_reads_files']	['data_from', 'data_from', 'data_from']	['core_metadata_collection', 'read_group', 'subject']	['many_to_one', 'many_to_many', 'many_to_many']	[False, False, False]	True	False
procedure	https://gen3.datacommons.io/	Procedure		medical_history	True	Information related to procedures in medical history like surgery, radiation, biopsy, etc.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	procedures	related_to	subject	many_to_one	True		
variant_call_file	https://gen3.datacommons.io/	Variant Call File (VCF)		data_file	False	"Data file containing variants called from sequencing reads.
"	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, md5sum, data_type, data_format, data_category	['core_metadata_collections', 'subjects']	['variant_call_files', 'variant_call_files']	['data_from', 'data_from']	['core_metadata_collection', 'subject']	['many_to_one', 'many_to_many']	[False, False]	True	False
exposure	https://gen3.datacommons.io/	Exposure		medical_history	True	Risk factors to which a subject was exposed during their lifetime.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	exposures	related_to	subject	many_to_one	True		
imaging_report	https://gen3.datacommons.org/	Imaging Report		data_file	True	Data file containing a report or tabulated results derived from the processing of an image file.	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, data_format, md5sum, data_category, data_type	['core_metadata_collections', 'imaging_files']	['imaging_reports', 'imaging_reports']	['data_from', 'derived_from']	['core_metadata_collection', 'imaging_file']	['many_to_one', 'many_to_many']	[False, False]	True	False
medical_device	https://gen3.datacommons.io/	Medical Device		medical_history	True	Information related to a subject's exposure to or use of a medical device.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	medical_devices	related_to	subject	many_to_one	True		
aligned_reads_file	https://gen3.datacommons.io/	Aligned Reads File		data_file	True	"Data file containing aligned reads.
"	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, data_format, data_type, data_category, md5sum	['core_metadata_collections', 'read_groups', 'unaligned_reads_files', 'subjects']	['aligned_reads_files', 'aligned_reads_files', 'aligned_reads_files', 'aligned_reads_files']	['data_from', 'data_from', 'data_from', 'data_from']	['core_metadata_collection', 'read_group', 'unaligned_reads_file', 'subject']	['many_to_one', 'many_to_many', 'many_to_many', 'many_to_one']	[False, False, False, False]	True	False
medication	https://data.braincommons.org/	Medication		medical_history	True	Concurrent medications, or medications taken for reasons not directly related to the primary diagnosis (see Treatment for diagnosis-related meds).	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, medication_name, subjects	subjects	medications	related_to	subject	many_to_one	True		
clinical_assessment	https://gen3.datacommons.io/	Clinical Assessment		medical_history	True	Data related to a subject's score on a particular clinical assessment, survey, or scale. Records include both motor and non-motor assessments, and can be related to a particular diagnosis or not.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	clinical_assessment	related_to	subject	many_to_one	True		
publication	https://data.braincommons.org/	Publication		administrative	True	Publication for a project.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, projects	projects	publications	refers_to	project	many_to_many	True		
subject	https://data.braincommons.org/	Subject		administrative	True	The collection of all data related to a specific subject in the context of a specific experiment.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, studies, index_date	studies	subjects	member_of	study	many_to_many	True		
pathology_slide	https://vpodc.org/	Pathology Slide		data_file	True	"Data file containing a pathology slide.
"	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, md5sum, data_format, data_type, data_category	['core_metadata_collections', 'subjects', 'samples']	['pathology_slides', 'pathology_slides', 'pathology_slides']	['data_from', 'data_from', 'data_from']	['core_metadata_collection', 'subject', 'sample']	['many_to_one', 'many_to_one', 'many_to_one']	[False, False, False]	True	False
core_metadata_collection	https://gen3.datacommons.io/	Core Metadata Collection		administrative	True	A collection of data files in a project.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, projects	projects	core_metadata_collections	data_from	project	many_to_one	True		
